Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
FIGS11;Shoppings;45,07;11,82%;11,47%;0,59;128450000;153142;2;1983,46;247,36;12,47%;7,01%
FIIB11;Híbrido;499,15;8,89%;9,63%;1,05;341918000;178617;11;617,8;61,51;9,96%;0,00%
FIIP11;Híbrido;158,6;11,16%;10,62%;0,8;147048000;235473;7;2103,89;266,12;12,65%;0,00%
FISC11;Lajes Corporativas;67;7,80%;8,41%;0,59;113900000;352;4;9034,22;900,19;9,96%;0,00%
FLCR11;Títulos e Val. Mob.;96,8;14,98%;14,33%;1,03;72778500;41749;0;0;0;0,00%;0,00%
FLMA11;Híbrido;129,2;10,13%;9,64%;0,59;178383000;91024;2;15393,8;1930,98;12,54%;0,00%
FLRP11;Shoppings;20,89;829,54%;7,70%;0,01;1514520;12532;1;29,66;266,49;898,52%;1,21%
FMOF11;Lajes Corporativas;78;2,69%;3,53%;0,67;39624600;178601;2;2347,32;172,71;7,36%;0,00%
FPAB11;Lajes Corporativas;174,02;7,80%;7,71%;0,49;130515000;150592;2;3568,96;386,54;10,83%;19,00%
FPNG11;Lajes Corporativas;326,18;1,46%;0,00%;1,88;851968000;32;8;59967,8;1604,83;2,68%;1,92%
FTCA11;Títulos e Val. Mob.;7,92;20,03%;15,84%;0,75;35322800;59508;0;0;0;0,00%;0,00%
FTCE11;Híbrido;2841,75;-0,30%;2,88%;1;3606230000;483583;79;2025,17;47,75;2,36%;0,01%
FVPQ11;Shoppings;57,5;10,97%;9,27%;0,33;161009000;83687;1;2799,45;787,57;28,13%;12,40%
FYTO11;Títulos e Val. Mob.;8,34;14,20%;2,33%;0,85;127447000;121126;0;0;0;0,00%;0,00%
FZDA11;Outros;118,31;0,74%;3,35%;0,68;183380000;1476;6;2,08;0,03;1,64%;0,00%
FZDB11;Outros;130,43;2,99%;3,12%;0,77;469548000;271;20;3,34;0,12;3,69%;0,00%
GAME11;Outros;8,52;26,95%;12,77%;0,9;184864000;122034;0;0;0;0,00%;0,00%
GARE11;;8,8;8,06%;11,75%;0,97;1297630000;4763760;4;194,86;22,24;11,41%;0,00%
GCOI11;Híbrido;98,9;-3,35%;0,00%;1,02;11175700;265;5;5996,73;0;0,00%;0,00%
GCRA11;Títulos e Val. Mob.;50,01;14,53%;15,41%;0,58;87560800;152016;0;0;0;0,00%;0,00%
GCRI11;Títulos e Val. Mob.;65,66;14,19%;15,55%;0,73;95460400;246890;1;973,86;0;0,00%;0,00%
GGRC11;Logística;10,06;10,13%;11,37%;0,9;1235040000;3709620;26;2059,54;185,69;9,02%;0,00%
GLCR11;Híbrido;101,76;0,00%;0,00%;0,99;26413100;3404;0;0;0;0,00%;0,00%
GLOG11;Logística;58;15,83%;9,64%;0,53;43500000;14802;1;605,51;126,12;20,83%;0,00%
GLPF11;Logística;104,34;1,45%;2,40%;1,04;157032000;27698;0;0;0;0,00%;0,00%
GRUL11;;8,41;10,62%;9,14%;0,88;207727000;387576;1;45009,8;3804,92;8,45%;0,00%
GRWA11;;8,46;10,27%;13,90%;0,85;23336800;12657;0;0;0;0,00%;0,00%
GSFI11;Shoppings;8,11;0,00%;0,00%;0,63;779425000;2230380;0;0;0;0,00%;0,00%
GTWR11;Lajes Corporativas;76,41;13,15%;12,52%;0,77;916920000;999670;3;5509,19;772,47;14,02%;0,00%
GZIT11;Híbrido;47,6;9,90%;19,32%;0,52;1039640000;484771;6;8579,12;1079,24;12,58%;2,36%
HAAA11;Lajes Corporativas;39,27;3,90%;4,04%;0,53;135678000;293;2;10346,5;940,34;9,09%;9,65%
HABT11;Títulos e Val. Mob.;82,99;13,23%;16,07%;0,88;674442000;799523;0;0;0;0,00%;0,00%
HBCR11;Lajes Corporativas;138;7,28%;17,24%;1,12;220800000;956695;2;2222,61;423,86;19,07%;0,00%
HCHG11;Outros;78,88;7,44%;12,26%;0,83;94656000;191888;0;0;0;0,00%;0,00%
HCRI11;Hospital;264,99;11,79%;11,78%;0,81;52998000;36110;1;9521,32;1217,22;12,78%;0,00%
HCTR11;Títulos e Val. Mob.;23,07;19,50%;19,93%;0,23;509483000;869540;0;0;0;0,00%;0,00%
HDEL11;Logística;100,01;24,19%;30,45%;2,05;84008400;19;1;4528,98;275,71;6,09%;0,00%
HFOF11;Títulos e Val. Mob.;5,96;107,60%;11,73%;0,09;137354000;1506460;0;0;0;0,00%;0,00%
HGAG11;Outros;13,9;7,22%;12,31%;0,57;3450700;929;0;0;0;0,00%;0,00%
HGBL11;Logística;8,62;8,71%;16,79%;0,95;216668000;666804;1;1635,89;232,49;14,21%;0,00%
HGBS11;Shoppings;19,97;77,25%;9,68%;0,09;257879000;2328530;16;452,39;411,11;90,88%;4,96%
HGCR11;Títulos e Val. Mob.;96,1;12,27%;12,15%;0,99;1481680000;2282010;0;0;0;0,00%;0,00%
HGFF11;Títulos e Val. Mob.;70,87;12,48%;12,51%;0,86;202943000;277635;0;0;0;0,00%;0,00%
HGIC11;Títulos e Val. Mob.;66,57;6,22%;16,48%;0,6;30802300;18780;2;1305,6;0;0,00%;0,00%
HGLG11;Logística;159,8;7,29%;8,20%;0,98;5399250000;6133530;27;3273,22;258,13;7,89%;4,60%
HGPO11;Lajes Corporativas;133;4,54%;19,94%;0,97;233157000;244097;0;0;0;0,00%;0,00%
HGRE11;Lajes Corporativas;112,62;6,85%;9,12%;0,73;1330920000;1765640;13;7399,39;737,52;9,97%;23,67%
HGRU11;Híbrido;123,3;8,63%;9,59%;0,98;2865250000;3812840;104;4644,1;340,59;7,33%;0,82%
HLOG11;Logística;8,18;57,57%;7,26%;0,07;34765000;55776;4;170,97;179,37;104,91%;2,96%
HOFC11;Lajes Corporativas;28,01;0,29%;1,49%;0,43;105850000;130073;3;2316,94;404,85;17,47%;49,80%
HOSI11;Híbrido;86,23;8,04%;8,47%;0,95;49448600;240898;2;0;0;0,00%;0,00%
HPDP11;Shoppings;90,8;7,37%;7,12%;0,97;298550000;1221580;1;2206,77;170,27;7,72%;16,81%
HRDF11;Híbrido;3;-0,46%;0,00%;0,41;4552280;55;0;0;0;0,00%;0,00%
